# 楽曲ソース (タブ区切り)。列: ブランドタグ / 曲名 / 歌唱 / 初出日 / 初出
# ここに一覧をそのまま貼り足して `node scripts/build-songs.mjs` を実行すると data/songs.csv が再生成される。
# ブランドタグ: GKM=学マス SYC=シャニ SdM=SideM MIL/MILR=ミリオン CIN=デレ 765 876 VLV 961 合同 ETC
[合同]	なんどでも笑おう	(アイマス15周年記念曲)	2019/12/26	ゆくM@SくるM@S
[合同]	VOY@GER	(イメージソング2021)	2021/08/04	CD&配信開始
[合同]	CRYST@LOUD	(MOIW2023テーマソング)	2022/12/27	ゆくM@SくるM@S
[合同]	アイ NEED YOU（FOR WONDERFUL STORY）	(アイマス20周年記念曲)	2024/07/26	19th→20thSP生配信
[合同]	→→→SP	(TOURSオリジナル曲)	2026/07/28	MV公開
[合同]	GR@TITUDE	Project LUMINOUS(冬)	2021/10/14	スターリットシーズン実装
[合同]	SESSION!	Project LUMINOUS(春)	2021/08/05	体験版で実装
[合同]	ダンス・ダンス・ダンス	(スターリットシーズンDLC曲)	2021/12/09	スタマスDLC vol.3
[合同]	EVER RISING	(-)奥空心白,亜夜	2021/10/14	スターリットシーズン実装
[合同]	KAWAII ウォーズ	(スターリットシーズンDLC曲)	2022/01/13	スタマスDLC vol.4
[合同]	夏のBang!!	Project LUMINOUS(夏)	2021/10/14	スターリットシーズン実装
[MIL]	Thank You!	(全体曲)	2013/04/24	LTP01
[MIL]	キラメキ進行形	(ソロ)天海春香	2013/05/29	LTP02
[MIL]	透明なプロローグ	(ソロ)七尾百合子	2013/05/29	LTP02
[MIL]	トキメキの音符になって	(ソロ)箱崎星梨花	2013/05/29	LTP02
[MIL]	Maria Trap	(ソロ)天空橋朋花	2013/05/29	LTP02
[MIL]	Precious Grain	(ソロ)最上静香	2013/05/29	LTP02
[MIL]	Legend Girls!!	(LTP02)春香,朋花,百合子,星梨花,静香	2013/05/29	LTP02
[MIL]	素敵なキセキ	(ソロ)春日未来	2013/06/26	LTP03
[MIL]	ハッピー☆ラッキー☆ジェットマシーン	(ソロ)横山奈緒	2013/06/26	LTP03
[MIL]	Happy Darling	(ソロ)望月杏奈	2013/06/26	LTP03
[MIL]	オレンジの空の下	(ソロ)豊川風花	2013/06/26	LTP03
[MIL]	Rebellion	(ソロ)我那覇響	2013/06/26	LTP03
[MIL]	PRETTY DREAMER	(LTP03)響,未来,風花,杏奈,奈緒	2013/06/26	LTP03
[MIL]	アフタースクールパーリータイム	(ソロ)所恵美	2013/07/31	LTP04
[MIL]	朝焼けのクレッシェンド	(ソロ)田中琴葉	2013/07/31	LTP04
[MIL]	ライアー・ルージュ	(ソロ)北沢志保	2013/07/31	LTP04
[MIL]	Snow White	(ソロ)如月千早	2013/07/31	LTP04
[MIL]	Blue Symphony	(LTP04)千早,志保,琴葉,恵美	2013/07/31	LTP04
[MIL]	微笑み日和	(ソロ)エミリー スチュアート	2013/08/28	LTP05
[MIL]	POKER POKER	(ソロ)真壁瑞希	2013/08/28	LTP05
[MIL]	Be My Boy	(ソロ)百瀬莉緒	2013/08/28	LTP05
[MIL]	プライヴェイト・ロードショウ (playback, Weekday)	(ソロ)水瀬伊織	2013/08/28	LTP05
[MIL]	Sentimental Venus	(LTP05)伊織,エミリー,瑞希,莉緒	2013/08/28	LTP05
[MIL]	恋のLesson初級編	(ソロ)伊吹翼	2013/09/25	LTP06
[MIL]	FIND YOUR WIND!	(ソロ)北上麗花	2013/09/25	LTP06
[MIL]	追憶のサンドグラス	(ソロ)星井美希	2013/09/25	LTP06
[MIL]	流星群	(ソロ)ジュリア	2013/09/25	LTP06
[MIL]	Marionetteは眠らない	(LTP06)美希,翼,麗花,ジュリア	2013/09/25	LTP06
[MIL]	マイペース☆マイウェイ	(ソロ)福田のり子	2013/10/30	LTP07
[MIL]	君想いBirthday	(ソロ)高山紗代子	2013/10/30	LTP07
[MIL]	ちいさな恋の足音	(ソロ)篠宮可憐	2013/10/30	LTP07
[MIL]	嘆きのFRACTION	(ソロ)三浦あずさ	2013/10/30	LTP07
[MIL]	カワラナイモノ	(LTP07)あずさ,可憐,紗代子,のり子	2013/10/30	LTP07
[MIL]	ホップ♪ステップ♪レインボウ♪	(ソロ)大神環	2013/11/27	LTP08
[MIL]	グッデイ・サンシャイン!	(ソロ)中谷育	2013/11/27	LTP08
[MIL]	オリジナル声になって	(ソロ)矢吹可奈	2013/11/27	LTP08
[MIL]	ハートウォーミング	(ソロ)高槻やよい	2013/11/27	LTP08
[MIL]	Good-Sleep, Baby♡	(LTP08)やよい,環,育,可奈	2013/11/27	LTP08
[MIL]	Helloコンチェルト	(LTP09)律子,ひなた,美奈子,亜利沙	2013/12/25	LTP09
[MIL]	スマイルいちばん	(ソロ)佐竹美奈子	2013/12/25	LTP09
[MIL]	あのね、聞いてほしいことがあるんだ	(ソロ)木下ひなた	2013/12/25	LTP09
[MIL]	チョー↑元気Show☆アイドルch@ng!	(ソロ)松田亜利沙	2013/12/25	LTP09
[MIL]	GREEDY GIRL	(ソロ)秋月律子	2013/12/25	LTP09
[MIL]	フェスタ・イルミネーション	(ソロ)徳川まつり	2014/01/29	LTP10
[MIL]	ココロ☆エクササイズ	(ソロ)高坂海美	2014/01/29	LTP10
[MIL]	ハッピ〜 エフェクト！	(ソロ)宮尾美也	2014/01/29	LTP10
[MIL]	恋花	(ソロ)四条貴音	2014/01/29	LTP10
[MIL]	瞳の中のシリウス	(LTP10)貴音,海美,まつり,美也	2014/01/29	LTP10
[MIL]	想いはCarnaval	(ソロ)島原エレナ	2014/02/26	LTP11
[MIL]	Get My Shinin’	(ソロ)舞浜歩	2014/02/26	LTP11
[MIL]	FLY TO EVERYWHERE	(ソロ)菊地真	2014/02/26	LTP11
[MIL]	DETECTIVE HIGH! 〜恋探偵物語〜	(ソロ)双海真美	2014/02/26	LTP11
[MIL]	Fu-Wa-Du-Wa	(LTP11)真,真美,エレナ,歩	2014/02/26	LTP11
[MIL]	IMPRESSION→LOCOMOTION！	(ソロ)ロコ	2014/03/26	LTP12
[MIL]	恋心マスカレード	(ソロ)二階堂千鶴	2014/03/26	LTP12
[MIL]	ハミングロード	(ソロ)萩原雪歩	2014/03/26	LTP12
[MIL]	デコレーション・ドリ〜ミンッ♪	(ソロ)周防桃子	2014/03/26	LTP12
[MIL]	ココロがかえる場所	(LTP12)雪歩,桃子,千鶴,ロコ	2014/03/26	LTP12
[MIL]	微笑んだから、気づいたんだ。	(ソロ)双海亜美	2014/04/30	LTP13
[MIL]	Heart♡・デイズ・Night☆	(ソロ)野々原茜	2014/04/30	LTP13
[MIL]	dear...	(ソロ)馬場このみ	2014/04/30	LTP13
[MIL]	ビギナーズ☆ストライク	(ソロ)永吉昴	2014/04/30	LTP13
[MIL]	Bigバルーン◎	(LTP13)亜美,昴,茜,このみ	2014/04/30	LTP13
[MIL]	Welcome!!	(全体曲)	2014/06/07	ミリオン1st1日目
[MIL]	合言葉はスタートアップ！	(UNIT)レジェンドデイズ	2014/07/30	LTH01
[MIL]	地球ミラーボウル	(ソロ)水瀬伊織	2014/07/30	LTH01
[MIL]	ストロベリー・キューピッド	(ソロ)高槻やよい	2014/07/30	LTH01
[MIL]	Liar's good bye	(ソロ)秋月律子	2014/07/30	LTH01
[MIL]	タイムマシンに飛び乗って！	(ソロ)双海亜美	2014/07/30	LTH01
[MIL]	smiley days	(ソロ)我那覇響	2014/07/30	LTH01
[MIL]	Growing Storm!	(UNIT)乙女ストーム！	2014/07/30	LTH02
[MIL]	...In The Name Of。 ...LOVE?	(ソロ)真壁瑞希	2014/07/30	LTH02
[MIL]	VIVID イマジネーション	(ソロ)望月杏奈	2014/07/30	LTH02
[MIL]	空想文学少女	(ソロ)七尾百合子	2014/07/30	LTH02
[MIL]	Believe my change!	(ソロ)伊吹翼	2014/07/30	LTH02
[MIL]	未来飛行	(ソロ)春日未来	2014/07/30	LTH02
